Produto;Modalidade de acesso;Tipo;CapEx acesso;Velocidade;Tipo de velocidade;Prontidão do Acesso PtP;Tabela regional;12 meses;24 meses;36 meses;48 meses;60 meses
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;13. RJ-Metro;R$ 268,96;R$ 255,92;R$ 243,69;R$ 220,48;R$ 208,86
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;16. MT/PA/MA - zona de interesse;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;01. SP-Capital;R$ 223,65;R$ 212,81;R$ 202,64;R$ 183,34;R$ 173,68
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;02. MG-Capital;R$ 227,97;R$ 216,92;R$ 206,55;R$ 186,87;R$ 177,03
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;03. RJ-Capital;R$ 271,88;R$ 258,70;R$ 246,33;R$ 222,87;R$ 211,13
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;04. Nordeste-Capital (exceto MA);R$ 223,70;R$ 212,86;R$ 202,68;R$ 183,38;R$ 173,71
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;05. DF/GO/SC-Capital;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;06. PR/ES-Capital;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 223,70;R$ 212,86;R$ 202,68;R$ 183,38;R$ 173,71
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;08. SP/RJ-Interior;R$ 271,88;R$ 258,70;R$ 246,33;R$ 222,87;R$ 211,13
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;09. SC/ES-Interior;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;11. PR/MG/RS-Interior;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 223,70;R$ 212,86;R$ 202,68;R$ 183,38;R$ 173,71
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;13. RJ-Metro;R$ 271,88;R$ 258,70;R$ 246,33;R$ 222,87;R$ 211,13
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;4;Simétrico;NA;16. MT/PA/MA - zona de interesse;R$ 241,24;R$ 229,55;R$ 218,57;R$ 197,75;R$ 187,34
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;01. SP-Capital;R$ 90,36;R$ 84,02;R$ 78,15;R$ 69,02;R$ 60,69
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;02. MG-Capital;R$ 86,68;R$ 82,48;R$ 78,53;R$ 71,05;R$ 64,04
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;03. RJ-Capital;R$ 132,83;R$ 126,39;R$ 120,35;R$ 108,88;R$ 98,14
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;04. Nordeste-Capital (exceto MA);R$ 90,41;R$ 84,08;R$ 78,19;R$ 69,06;R$ 60,73
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;05. DF/GO/SC-Capital;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;06. PR/ES-Capital;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 90,41;R$ 84,08;R$ 78,19;R$ 69,06;R$ 60,73
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;08. SP/RJ-Interior;R$ 132,83;R$ 126,39;R$ 120,35;R$ 108,88;R$ 98,14
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;09. SC/ES-Interior;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;11. PR/MG/RS-Interior;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 90,41;R$ 84,08;R$ 78,19;R$ 69,06;R$ 60,73
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;13. RJ-Metro;R$ 132,83;R$ 126,39;R$ 120,35;R$ 108,88;R$ 98,14
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;5;Assimétrico;NA;16. MT/PA/MA - zona de interesse;R$ 100,63;R$ 95,75;R$ 91,17;R$ 82,49;R$ 74,35
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;01. SP-Capital;R$ 90,86;R$ 84,49;R$ 78,58;R$ 69,40;R$ 61,03
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;02. MG-Capital;R$ 87,13;R$ 82,91;R$ 78,94;R$ 71,42;R$ 64,38
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;03. RJ-Capital;R$ 133,28;R$ 126,82;R$ 120,76;R$ 109,26;R$ 98,48
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;04. Nordeste-Capital (exceto MA);R$ 90,91;R$ 84,54;R$ 78,63;R$ 69,44;R$ 61,07
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;05. DF/GO/SC-Capital;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;06. PR/ES-Capital;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 90,91;R$ 84,54;R$ 78,63;R$ 69,44;R$ 61,07
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;08. SP/RJ-Interior;R$ 133,28;R$ 126,82;R$ 120,76;R$ 109,26;R$ 98,48
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;09. SC/ES-Interior;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;11. PR/MG/RS-Interior;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 90,91;R$ 84,54;R$ 78,63;R$ 69,44;R$ 61,07
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;13. RJ-Metro;R$ 133,28;R$ 126,82;R$ 120,76;R$ 109,26;R$ 98,48
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Assimétrico;NA;16. MT/PA/MA - zona de interesse;R$ 101,08;R$ 96,18;R$ 91,58;R$ 82,86;R$ 74,69
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;01. SP-Capital;R$ 232,41;R$ 221,14;R$ 210,57;R$ 190,51;R$ 180,48
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;02. MG-Capital;R$ 236,72;R$ 225,25;R$ 214,48;R$ 194,05;R$ 183,83
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;03. RJ-Capital;R$ 280,64;R$ 267,03;R$ 254,27;R$ 230,05;R$ 217,93
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;04. Nordeste-Capital (exceto MA);R$ 232,46;R$ 221,19;R$ 210,61;R$ 190,55;R$ 180,51
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;05. DF/GO/SC-Capital;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;06. PR/ES-Capital;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 232,46;R$ 221,19;R$ 210,61;R$ 190,55;R$ 180,51
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;08. SP/RJ-Interior;R$ 280,64;R$ 267,03;R$ 254,27;R$ 230,05;R$ 217,93
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;09. SC/ES-Interior;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;11. PR/MG/RS-Interior;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 232,46;R$ 221,19;R$ 210,61;R$ 190,55;R$ 180,51
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;13. RJ-Metro;R$ 280,64;R$ 267,03;R$ 254,27;R$ 230,05;R$ 217,93
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;10;Simétrico;NA;16. MT/PA/MA - zona de interesse;R$ 250,00;R$ 237,88;R$ 226,51;R$ 204,93;R$ 194,13
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;01. SP-Capital;R$ 91,35;R$ 84,95;R$ 79,01;R$ 69,78;R$ 61,36
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;02. MG-Capital;R$ 87,58;R$ 83,34;R$ 79,35;R$ 71,79;R$ 64,71
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;03. RJ-Capital;R$ 133,73;R$ 127,25;R$ 121,17;R$ 109,63;R$ 98,81
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;04. Nordeste-Capital (exceto MA);R$ 91,41;R$ 85,00;R$ 79,06;R$ 69,82;R$ 61,40
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;05. DF/GO/SC-Capital;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;06. PR/ES-Capital;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 91,41;R$ 85,00;R$ 79,06;R$ 69,82;R$ 61,40
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;08. SP/RJ-Interior;R$ 133,73;R$ 127,25;R$ 121,17;R$ 109,63;R$ 98,81
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;09. SC/ES-Interior;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;11. PR/MG/RS-Interior;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 91,41;R$ 85,00;R$ 79,06;R$ 69,82;R$ 61,40
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;13. RJ-Metro;R$ 133,73;R$ 127,25;R$ 121,17;R$ 109,63;R$ 98,81
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;15;Assimétrico;NA;16. MT/PA/MA - zona de interesse;R$ 101,53;R$ 96,61;R$ 91,99;R$ 83,23;R$ 75,02
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;01. SP-Capital;R$ 241,17;R$ 229,47;R$ 218,50;R$ 197,69;R$ 187,28
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;02. MG-Capital;R$ 245,48;R$ 233,58;R$ 222,41;R$ 201,23;R$ 190,63
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;03. RJ-Capital;R$ 289,39;R$ 275,36;R$ 262,20;R$ 237,22;R$ 224,73
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;04. Nordeste-Capital (exceto MA);R$ 241,21;R$ 229,52;R$ 218,55;R$ 197,73;R$ 187,31
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;05. DF/GO/SC-Capital;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;06. PR/ES-Capital;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 241,21;R$ 229,52;R$ 218,55;R$ 197,73;R$ 187,31
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;08. SP/RJ-Interior;R$ 289,39;R$ 275,36;R$ 262,20;R$ 237,22;R$ 224,73
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;09. SC/ES-Interior;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;11. PR/MG/RS-Interior;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 241,21;R$ 229,52;R$ 218,55;R$ 197,73;R$ 187,31
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;13. RJ-Metro;R$ 289,39;R$ 275,36;R$ 262,20;R$ 237,22;R$ 224,73
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;16;Simétrico;NA;16. MT/PA/MA - zona de interesse;R$ 258,75;R$ 246,21;R$ 234,44;R$ 212,11;R$ 200,93
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;01. SP-Capital;R$ 247,00;R$ 235,03;R$ 223,79;R$ 202,48;R$ 191,81
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;02. MG-Capital;R$ 251,32;R$ 239,13;R$ 227,70;R$ 206,01;R$ 195,16
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;03. RJ-Capital;R$ 295,23;R$ 280,92;R$ 267,49;R$ 242,01;R$ 229,26
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;04. Nordeste-Capital (exceto MA);R$ 247,05;R$ 235,08;R$ 223,84;R$ 202,52;R$ 191,85
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;05. DF/GO/SC-Capital;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;06. PR/ES-Capital;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 247,05;R$ 235,08;R$ 223,84;R$ 202,52;R$ 191,85
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;08. SP/RJ-Interior;R$ 295,23;R$ 280,92;R$ 267,49;R$ 242,01;R$ 229,26
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;09. SC/ES-Interior;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;11. PR/MG/RS-Interior;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 247,05;R$ 235,08;R$ 223,84;R$ 202,52;R$ 191,85
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;13. RJ-Metro;R$ 295,23;R$ 280,92;R$ 267,49;R$ 242,01;R$ 229,26
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;20;Simétrico;NA;16. MT/PA/MA - zona de interesse;R$ 264,59;R$ 251,76;R$ 239,73;R$ 216,89;R$ 205,47
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;01. SP-Capital;R$ 92,35;R$ 85,88;R$ 79,87;R$ 70,54;R$ 62,03
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;02. MG-Capital;R$ 88,49;R$ 84,20;R$ 80,17;R$ 72,54;R$ 65,38
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;03. RJ-Capital;R$ 134,64;R$ 128,11;R$ 121,99;R$ 110,37;R$ 99,48
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;04. Nordeste-Capital (exceto MA);R$ 92,41;R$ 85,93;R$ 79,92;R$ 70,58;R$ 62,07
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;05. DF/GO/SC-Capital;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;06. PR/ES-Capital;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 92,41;R$ 85,93;R$ 79,92;R$ 70,58;R$ 62,07
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;08. SP/RJ-Interior;R$ 134,64;R$ 128,11;R$ 121,99;R$ 110,37;R$ 99,48
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;09. SC/ES-Interior;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;11. PR/MG/RS-Interior;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 92,41;R$ 85,93;R$ 79,92;R$ 70,58;R$ 62,07
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;13. RJ-Metro;R$ 134,64;R$ 128,11;R$ 121,99;R$ 110,37;R$ 99,48
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;14. SC/ES/PR/MG - zona de interesse;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;15. Nordeste (exceto MA) - zona de interesse;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;25;Assimétrico;NA;16. MT/PA/MA - zona de interesse;R$ 102,44;R$ 97,47;R$ 92,81;R$ 83,97;R$ 75,69
IP Connect;GPON;Acesso+porta;Sem PMT;30;Simétrico;NA;01. SP-Capital;R$ 274,93;R$ 261,60;R$ 249,10;R$ 225,37;R$ 203,14
IP Connect;GPON;Acesso+porta;Sem PMT;30;Simétrico;NA;02. MG-Capital;R$ 279,47;R$ 265,92;R$ 253,21;R$ 229,09;R$ 206,49
IP Connect;GPON;Acesso+porta;Sem PMT;30;Simétrico;NA;03. RJ-Capital;R$ 325,62;R$ 309,83;R$ 295,02;R$ 266,92;R$ 240,59
